Churn,customerID,Contract,OnlineBackup,MonthlyCharges,InternetService,StreamingTV,DeviceProtection,MultipleLines,TotalCharges,Dependents,gender,PaperlessBilling,PhoneService,TechSupport,Partner,tenure,PaymentMethod,SeniorCitizen,StreamingMovies,OnlineSecurity,SeniorCitizenLabel,PartnerLabel,DependentsLabel,PhoneServiceLabel,PaperlessLabel,ServiceFamily,PaymentFamily,support_depth,stream_depth,service_count,tenure_band,monthly_charge_band,bill_per_month,bill_pressure,household_score,profile_code,row_variant,dup_sig,col_order_key
0,8033-ATFAS,Month-to-month,No,60.61,DSL,Yes,Yes,No,2494.92,Yes,Female,Yes,Yes,No,Yes,40,Mailed check,0,No,No,non_senior,partnered,dependents,active_line,paperless,DSL_Month-to-month,Mailed check_Yes,1.0,1,3,long,high,60.04,1.5,2,long_Month-to-month_Mailed check,shadow,TFAS_shadow,6917
0,6833-JMZYP,Month-to-month,No,94.0,Fiber optic,Yes,Yes,No,1505.45,No,Female,Yes,Yes,No,No,15,Credit card (automatic),0,Yes,No,non_senior,single,none,active_line,paperless,Fiber optic_Month-to-month,Credit card (automatic)_Yes,1.0,2,4,mid,very_high,100.36,5.88,0,mid_Month-to-month_Credit card (automatic),base,MZYP_base,2482
0,4537-CIBHB,One year,No internet service,20.25,No,No internet service,No internet service,No,172.35,Yes,Female,No,Yes,No internet service,Yes,9,Mailed check,0,No internet service,No internet service,non_senior,partnered,dependents,active_line,paper,No_One year,Mailed check_No,0.0,0,0,short,lower_mid,19.15,2.02,2,short_One year_Mailed check,base,IBHB_base,4145
0,1752-OZXFY,One year,No,59.8,DSL,Yes,No,No,3561.15,No,Male,Yes,Yes,No,Yes,60,Mailed check,0,No,Yes,non_senior,partnered,none,active_line,paperless,DSL_One year,Mailed check_Yes,1.0,1,3,very_long,high,59.35,0.98,1,very_long_One year_Mailed check,base,ZXFY_base,3214
0,7622-FWGEW,Two year,Yes,85.65,DSL,Yes,Yes,No,4824.45,No,Male,Yes,Yes,Yes,Yes,56,Bank transfer (automatic),1,Yes,Yes,senior,partnered,none,active_line,paperless,DSL_Two year,Bank transfer (automatic)_Yes,4.0,2,7,very_long,very_high,86.15,1.5,1,very_long_Two year_Bank transfer (automatic),base,WGEW_base,5801
0,1078-TDCRN,Month-to-month,Yes,30.75,DSL,No,No,No phone service,82.85,No,Female,Yes,No,No,Yes,3,Electronic check,1,No,No,senior,partnered,none,no_line,paperless,DSL_Month-to-month,Electronic check_Yes,1.0,0,3,very_short,lower_mid,27.62,7.69,1,very_short_Month-to-month_Electronic check,base,DCRN_base,3721
0,4967-WPNCF,Two year,Yes,60.17,DSL,Yes,Yes,No phone service,4498.65,No,Male,Yes,No,Yes,No,71,Bank transfer (automatic),1,Yes,Yes,non_senior,single,none,no_line,paperless,DSL_Two year,Bank transfer (automatic)_Yes,4.0,2,8,very_long,high,62.01,0.87,0,very_long_Two year_Bank transfer (automatic),base,PNCF_base,6970
0,4559-UWIHT,Month-to-month,Yes,82.65,Fiber optic,No,Yes,Yes,1185.0,No,Male,Yes,Yes,No,Yes,14,Electronic check,0,No,No,non_senior,partnered,none,active_line,paperless,Fiber optic_Month-to-month,Electronic check_Yes,2.0,0,4,mid,very_high,84.64,5.51,1,mid_Month-to-month_Electronic check,base,WIHT_base,818
0,6614-YWYSC,Two year,No internet service,25.0,No,No internet service,No internet service,Yes,1501.75,No,Male,No,Yes,No internet service,Yes,61,Bank transfer (automatic),1,No internet service,No internet service,senior,partnered,none,active_line,paper,No_Two year,Bank transfer (automatic)_No,0.0,0,1,very_long,lower_mid,24.62,0.4,1,very_long_Two year_Bank transfer (automatic),base,WYSC_base,224
0,4664-NJCMS,Two year,No,59.55,DSL,Yes,Yes,No phone service,2016.3,No,Female,No,No,Yes,Yes,33,Bank transfer (automatic),0,Yes,Yes,non_senior,partnered,none,no_line,paper,DSL_Two year,Bank transfer (automatic)_No,3.0,2,7,long,high,61.1,1.75,1,long_Two year_Bank transfer (automatic),base,JCMS_base,2017
0,9122-UMROB,Month-to-month,No internet service,20.3,No,No internet service,No internet service,No,20.3,No,Male,No,Yes,No internet service,No,1,Mailed check,0,No internet service,No internet service,non_senior,single,none,active_line,paper,No_Month-to-month,Mailed check_No,0.0,0,0,very_short,lower_mid,20.3,10.15,0,very_short_Month-to-month_Mailed check,base,MROB_base,4679
0,7956-XQWGU,Month-to-month,No internet service,19.4,No,No internet service,No internet service,No,460.25,No,Male,Yes,Yes,No internet service,No,27,Credit card (automatic),0,No internet service,No internet service,non_senior,single,none,active_line,paperless,No_Month-to-month,Credit card (automatic)_Yes,0.0,0,0,long,low,17.05,0.69,0,long_Month-to-month_Credit card (automatic),base,QWGU_base,5809
0,9087-EYCPR,Two year,No internet service,25.0,No,No internet service,No internet service,Yes,1505.05,No,Female,No,Yes,No internet service,No,60,Mailed check,0,No internet service,No internet service,non_senior,single,none,active_line,paper,No_Two year,Mailed check_No,0.0,0,1,very_long,lower_mid,25.08,0.41,0,very_long_Two year_Mailed check,base,YCPR_base,1727
0,5495-GPSRW,Two year,No internet service,19.7,No,No internet service,No internet service,No,419.4,No,Male,Yes,Yes,No internet service,No,20,Mailed check,0,No internet service,No internet service,non_senior,single,none,active_line,paperless,No_Two year,Mailed check_Yes,0.0,0,0,mid,low,20.97,0.94,0,mid_Two year_Mailed check,base,PSRW_base,6992
0,1394-SUIUH,Month-to-month,Yes,85.15,Fiber optic,No,No,No,3670.5,No,Female,Yes,Yes,Yes,Yes,44,Electronic check,1,No,Yes,senior,partnered,none,active_line,paperless,Fiber optic_Month-to-month,Electronic check_Yes,3.0,0,4,long,very_high,83.42,1.89,1,long_Month-to-month_Electronic check,base,UIUH_base,4754
0,6242-FEGFD,Two year,Yes,96.6,Fiber optic,No,Yes,Yes,6424.25,No,Male,No,Yes,Yes,Yes,66,Mailed check,0,No,Yes,non_senior,partnered,none,active_line,paper,Fiber optic_Two year,Mailed check_No,4.0,0,6,very_long,very_high,97.34,1.44,1,very_long_Two year_Mailed check,base,EGFD_base,3514
0,2792-LSHWX,Month-to-month,Yes,83.4,Fiber optic,No,No,No,83.4,No,Female,Yes,Yes,Yes,No,1,Mailed check,0,No,Yes,non_senior,single,none,active_line,paperless,Fiber optic_Month-to-month,Mailed check_Yes,3.0,0,4,very_short,very_high,83.4,41.7,0,very_short_Month-to-month_Mailed check,base,SHWX_base,434
0,6689-VRRTK,One year,Yes,109.8,Fiber optic,Yes,Yes,Yes,4860.35,No,Female,Yes,Yes,No,No,44,Credit card (automatic),1,Yes,Yes,senior,single,none,active_line,paperless,Fiber optic_One year,Credit card (automatic)_Yes,3.0,2,7,long,very_high,110.46,2.44,0,long_One year_Credit card (automatic),base,RRTK_base,969
0,6891-JPYFF,Month-to-month,Yes,105.25,Fiber optic,Yes,No,Yes,4997.5,Yes,Female,Yes,Yes,No,Yes,48,Credit card (automatic),0,Yes,Yes,non_senior,partnered,dependents,active_line,paperless,Fiber optic_Month-to-month,Credit card (automatic)_Yes,2.0,2,6,very_long,very_high,104.11,2.15,2,very_long_Month-to-month_Credit card (automatic),base,PYFF_base,4487
0,3354-OADJP,One year,No,54.25,DSL,No,No,No,447.75,No,Female,No,Yes,Yes,No,8,Bank transfer (automatic),0,No,Yes,non_senior,single,none,active_line,paper,DSL_One year,Bank transfer (automatic)_No,2.0,0,3,short,mid,55.97,6.03,0,short_One year_Bank transfer (automatic),base,ADJP_base,2753
0,7649-PHJVR,One year,No internet service,19.5,No,No internet service,No internet service,No,226.8,No,Male,No,Yes,No internet service,No,11,Mailed check,0,No internet service,No internet service,non_senior,single,none,active_line,paper,No_One year,Mailed check_No,0.0,0,0,short,low,20.62,1.62,0,short_One year_Mailed check,base,HJVR_base,7243
0,1600-DILPE,Month-to-month,No,45.0,DSL,No,No,No,524.35,No,Female,Yes,Yes,No,No,12,Bank transfer (automatic),0,No,No,non_senior,single,none,active_line,paperless,DSL_Month-to-month,Bank transfer (automatic)_Yes,0.0,0,1,mid,mid,43.7,3.46,0,mid_Month-to-month_Bank transfer (automatic),base,ILPE_base,544
0,5684-FJVYR,Two year,Yes,90.35,Fiber optic,No,No,Yes,6563.4,Yes,Female,Yes,Yes,Yes,Yes,72,Bank transfer (automatic),0,No,Yes,non_senior,partnered,dependents,active_line,paperless,Fiber optic_Two year,Bank transfer (automatic)_Yes,3.0,0,5,very_long,very_high,91.16,1.24,2,very_long_Two year_Bank transfer (automatic),base,JVYR_base,6502
0,2632-TACXW,Two year,,23.65,No,No internet service,,Yes,1416.75,No,Female,No,Yes,,Yes,62,Bank transfer (automatic),0,No internet service,,non_senior,partnered,none,active_line,paper,No_Two year,Bank transfer (automatic)_No,0.0,0,1,very_long,lower_mid,22.85,0.38,1,very_long_Two year_Bank transfer (automatic),base,ACXW_base,5397
